street_address,zip_code,city,state
1033 Busac Ave,32205,Jacksonville,FL
8965 Bridgecreek Dr,32244,Jacksonville,FL
3229 PARK ST,32205,Jacksonville,FL
1042 OVINGTON RD S,32216,Jacksonville,FL
4968 Meganwood Ln,32257,Jacksonville,FL
6033 CHEVY DR,32216,Jacksonville,FL
10535 SCOTT MILL RD,32257,Jacksonville,FL
14359 STACEY RD,32250,Jacksonville,FL
12742 S GLADE SPRINGS DR,32246,Jacksonville,FL
3725 HAWKS BAY CT,32224,Jacksonville,FL
2512 TUSCAN OAKS LN,32223,Jacksonville,FL
1674 HAMMOCK GROVE LN,32225,Jacksonville,FL
14906 FISHHAWK PRESERVE DR,32206,Jacksonville,FL
7202 Electra Dr S,32210,Jacksonville,FL
3903 Cobalt Ave E,32210,Jacksonville,FL
5014 EULACE RD,32210,Jacksonville,FL
11287 SCOTT MILL RD,32223,Jacksonville,FL
3371 MARY DRAPER CT,32223,Jacksonville,FL
12797 E BURNING TREE LN,32223,Jacksonville,FL
3466 REMLER DR S,32223,Jacksonville,FL
1855 Mauva Juan Ave,32225,Jacksonville,FL
13759 CANFIELD CT,32224,Jacksonville,FL
12826 GREENMEADOW PL,32246,Jacksonville,FL
13850 Ketch Cove Dr,32224,Jacksonville,FL
4775 E MARSH HAMMOCK DR,32224,Jacksonville,FL
13035 SUNSET LAKE DR,32258,Jacksonville,FL
7791 Merchants Way,32222,Jacksonville,FL
2450 CANAL WAY,32223,Jacksonville,FL
12102 DIVIDING OAKS TRL E,32223,Jacksonville,FL
3420 REMLER DR S,32223,Jacksonville,FL
5811 Atlantic Blvd UNIT 121,32207,Jacksonville,FL
2447 Caney Oaks Dr E,32218,Jacksonville,FL
1934 DELRAY AVE,32210,Jacksonville,FL
4373 HEAVEN TREES RD,32207,Jacksonville,FL
12887 Plummer Grant Rd,32258,Jacksonville,FL
11906 HOOD LANDING RD,32258,Jacksonville,FL
12836 ISLEWORTH DR,32225,Jacksonville,FL
12277 VERSAILLES ST,32224,Jacksonville,FL
3012 BROUGHAM AVE,32246,Jacksonville,FL
2242 BRISTOL SPRING CT,32246,Jacksonville,FL
12068 Colby Creek Dr,32258,Jacksonville,FL
10539 AVENTURA DR,32256,Jacksonville,FL
1903 Muncie Ave,32210,Jacksonville,FL
3852 ST JOHNS AVE,32205,Jacksonville,FL
2250 FLATWOOD CT,32223,Jacksonville,FL
501 Tidal Wave Ln,32218,Jacksonville,FL
4161 Sunset Ln S,32257,Jacksonville,FL
4551 HARBOUR NORTH CT,32225,Jacksonville,FL
5342 SKYLARK MANOR DR,32257,Jacksonville,FL
4480 Deerwood Lake Pkwy UNIT 422,32216,Jacksonville,FL
13846 Atlantic Blvd APT 111,32225,Jacksonville,FL
13106 Wexford Hollow Rd N,32224,Jacksonville,FL
2957 Gilmore St,32205,Jacksonville,FL
9890 KINGS CROSSING DR,32219,Jacksonville,FL
1154 HICKORY COVE,32221,Jacksonville,FL
1496 BLOOMINGDALE RD,32221,Jacksonville,FL
7032 Jammes Rd,32244,Jacksonville,FL
745 GRANADA BLVD S,32207,Jacksonville,FL
4736 GREAT WESTERN LN S,32257,Jacksonville,FL
12220 Three Springmoor Ct,32225,Jacksonville,FL
12971 WINTHROP COVE DR,32224,Jacksonville,FL
4645 TREVOR CREEK DR N,32257,Jacksonville,FL
3189 Laurel Grv N,32223,Jacksonville,FL
12521 Condor Dr,32223,Jacksonville,FL
6836 Hanford St,32219,Jacksonville,FL
7915 RENAULT DR,32244,Jacksonville,FL
12220 SPRINGMOOR THREE CT,32225,Jacksonville,FL
1957 April Oaks Dr,32221,Jacksonville,FL
12903 Josslyn Ln,32246,Jacksonville,FL
12907 Josslyn Ln,32246,Jacksonville,FL
7766 Oregano Ct,32244,Jacksonville,FL
6613 CARTIER CIR,32208,Jacksonville,FL
3979 RAINTREE RD,32277,Jacksonville,FL
12521 ATTRILL RD,32258,Jacksonville,FL
4345 Morning Dove Dr,32258,Jacksonville,FL
1387 PINK PANTHER DR,32225,Jacksonville,FL
11175 CHESTER LAKE RD W,32256,Jacksonville,FL
7758 CHIPWOOD LN,32256,Jacksonville,FL
10961 Burnt Mill Rd APT 1234,32256,Jacksonville,FL
15254 LANDMARK CIR S,32226,Jacksonville,FL
10440 SYLVAN LN W,32257,Jacksonville,FL
1965 SPOONBILL ST,32224,Jacksonville,FL
4350 RIPKEN CIR E,32224,Jacksonville,FL
2157 WALNUT CREEK CT N,32246,Jacksonville,FL
11704 DARTMOOR CT,32256,Jacksonville,FL
13940 CRESTWICK DR W,32218,Jacksonville,FL
3009 EGRET WALK TER S,32226,Jacksonville,FL
6106 Maggies Cir UNIT 116,32244,Jacksonville,FL
5480 RIVER TRAIL RD N,32277,Jacksonville,FL
14926 THOMAS MILL RD,32218,Jacksonville,FL
4344 BOAT CLUB DR,32277,Jacksonville,FL
1650 Ryar Rd,32216,Jacksonville,FL
2440 Una Dr,32216,Jacksonville,FL
909 Bert Rd APT 129,32211,Jacksonville,FL
8715 BELLE RIVE BLVD UNIT 1603,32256,Jacksonville,FL
11636 Greenland Hideaway Dr W,32258,Jacksonville,FL
13304 OLD ST AUGUSTINE RD,32258,Jacksonville,FL
183 Annandale Dr W,32225,Jacksonville,FL
3728 QUINBY ISLAND CT,32224,Jacksonville,FL
8849 Old Kings Rd S UNIT 174,32257,Jacksonville,FL
13700 Richmond Park Dr N APT 508,32224,Jacksonville,FL
11756 CRUSSELLE DR,32223,Jacksonville,FL
5421 LOS SANTOS WAY,32211,Jacksonville,FL
12787 BURNING TREE LN E,32223,Jacksonville,FL
11289 MADELYNN DR,32256,Jacksonville,FL
11257 Americana Ln,32218,Jacksonville,FL
712 MONTEGO RD W,32216,Jacksonville,FL
7877 ALDERMAN RD,32211,Jacksonville,FL
8340 BARQUERO CT N,32217,Jacksonville,FL
12216 Reedpond Dr W,32223,Jacksonville,FL
1803 Buccaneer Dr,32225,Jacksonville,FL
1744 DEBUTANTE DR,32246,Jacksonville,FL
3818 BRAMPTON ISLAND CT N,32224,Jacksonville,FL
791 Assisi Ln APT 707,32233,Jacksonville,FL
4405 HUNTERSTON LN,32224,Jacksonville,FL
2135 Ronald Ln,32216,Jacksonville,FL
4457 BLACK ALDER CT,32258,Jacksonville,FL
3422 CORMORANT COVE DR,32223,Jacksonville,FL
2429 PIRATE CT,32224,Jacksonville,FL
7940 Vineyard Lake Rd N,32256,Jacksonville,FL
10054 RICHTON CT,32246,Jacksonville,FL
679 SID DR,32218,Jacksonville,FL
11636 GREENLAND HIDEAWAY DR S,32258,Jacksonville,FL
1187 PECAN COVE,32221,Jacksonville,FL
8310 Cross Timbers Dr W,32244,Jacksonville,FL
7914 Volvo St,32244,Jacksonville,FL
5711 BANYAN DR,32244,Jacksonville,FL
11628 HAMRICK PL,32223,Jacksonville,FL
5424 OLIVER ST N,32211,Jacksonville,FL
6534 ECTOR PL,32211,Jacksonville,FL
4654 JULINGTON CREEK RD,32258,Jacksonville,FL
13046 CHELSEA HARBOR DR S,32224,Jacksonville,FL
1226 McGirts Creek Dr W,32221,Jacksonville,FL
7800 Point Meadows Dr,32256,Jacksonville,FL
3662 CHATSFIELD CT,32224,Jacksonville,FL
1431 RIVERPLACE BLVD UNIT 2502,32207,Jacksonville,FL
340 ANTHONY DR,32218,Jacksonville,FL
2806 Bastia Ct,32246,Jacksonville,FL
7749 ROLLING HILLS DR,32221,Jacksonville,FL
7076 Beechfern Ln S,32244,Jacksonville,FL
3548 SANDBURG RD,32277,Jacksonville,FL
3557 SANDBURG RD,32277,Jacksonville,FL
1128 CATALINA RD E,32216,Jacksonville,FL
7879 TIMBERLIN PARK BLVD,32256,Jacksonville,FL
10929 READING RD,32257,Jacksonville,FL
11556 JONATHAN RD,32225,Jacksonville,FL
10143 BISHOP LAKE RD,32256,Jacksonville,FL
9589 MAIDSTONE MILL DR W,32244,Jacksonville,FL
1189 SUMMER BLUFF RD,32218,Jacksonville,FL
1352 MARSH GRASS CT,32218,Jacksonville,FL
5227 Tallulah Lake CT,32224,Jacksonville,FL
1431 RIVERPLACE BLVD UNIT 1408,32207,Jacksonville,FL
10217 GLENNFIELD CT,32221,Jacksonville,FL
8703 Pinon Dr,32221,Jacksonville,FL
8184 BLAZING STAR RD,32210,Jacksonville,FL
3623 Owen Ave,32208,Jacksonville,FL
12233 PREMIER CT,32223,Jacksonville,FL
1880 MELROSE PLANTATION DR,32223,Jacksonville,FL
2148 SPANISH BLUFF DR,32225,Jacksonville,FL
4956 MAXWOOD RD,32257,Jacksonville,FL
4355 COQUINA DR,32250,Jacksonville,FL
10047 ECTON LN,32246,Jacksonville,FL
11168 Campfield Cir,32256,Jacksonville,FL
1617 Vernice Rd,32226,Jacksonville,FL
1333 HOWARD RD,32218,Jacksonville,FL
4934 Wild Heron Way,32225,Jacksonville,FL
4750 SWEET CHERRY LN E,32225,Jacksonville,FL
12624 MEADOWSWEET LN,32225,Jacksonville,FL
1405 SINCLAIR LN,32221,Jacksonville,FL
3591 Kernan Blvd S APT 718,32224,Jacksonville,FL
11649 WHITE DOGWOOD RD,32256,Jacksonville,FL
4160 RAYWILL RD,32218,Jacksonville,FL
1533 Kingfisher Ln N,32218,Jacksonville,FL
6042 MEADOW LN,32277,Jacksonville,FL
131 SAPELO RD,32216,Jacksonville,FL
13846 Atlantic Blvd APT 418,32225,Jacksonville,FL
14096 MAGNOLIA COVE RD,32224,Jacksonville,FL
9721 NOROAD,32210,Jacksonville,FL
8966 MARLEE RD,32222,Jacksonville,FL
